,position_on_page,title,link,published_date,views,length,description,extensions,channel.name,channel.link,channel.verified,channel.thumbnail,thumbnail.static,thumbnail.rich
30,11,10 Excel Things You Should NEVER Do and What to do Instead,https://www.youtube.com/watch?v=Edms-B4ViHo,1 month ago,227433.0,12:34,0:00 Introduction 0:12 Merge & Center Cells 1:49 Non-tabular Data 3:21 Dates Formatted as Text 4:26 External Links 5:40 ...,,MyOnlineTrainingHub,https://www.youtube.com/user/MyOnlineTrainingHub,True,https://yt3.ggpht.com/ytc/AKedOLR6rNkZyg7o25kyQy2asi_qSXHgKaW9Uwttcfvf_A=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Edms-B4ViHo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyCHNdp4ssUNhFT87iMpE-lw0QVA,https://i.ytimg.com/an_webp/Edms-B4ViHo/mqdefault_6s.webp?du=3000&sqp=CLbVw4wG&rs=AOn4CLB4j_uZt0crE9hoNoj29vDP8u4AOg
31,12,Excel VBA Beginner Tutorial,https://www.youtube.com/watch?v=G05TrN7nt6k,1 year ago,2500033.0,2:10:31,Excel VBA Beginner Tutorial For ad free training and certificates please join Learnit Anytime: https://www.learnitanytime.com For ...,['CC'],Learnit Training,https://www.youtube.com/user/LearnitTraining,True,https://yt3.ggpht.com/JPJEpKm2PkYzJJmju1M4a0cq3aMBS-JmJ4umGsxMLOCTTq0aE-vTfDaKa9umJNjqncqrzI3UauY=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/G05TrN7nt6k/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAAudZE9DGG8ExAef-DtP8Wmjhacg,
32,13,"Introduction to Pivot Tables, Charts, and Dashboards in Excel (Part 1)",https://www.youtube.com/watch?v=9NUjHBNWe9M,6 years ago,11425892.0,14:48,In this video series you will learn how to create an interactive dashboard using Pivot Tables and Pivot Charts. Works with Excel ...,['CC'],Excel Campus - Jon,https://www.youtube.com/user/ExcelCampus,,https://yt3.ggpht.com/ytc/AKedOLSFUacMD-kI8JlBBJjAh9FI10r9n81jjO69h_f3qA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/9NUjHBNWe9M/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDtwUHB6QjPz7hGsh3yoDOvUQj-qg,https://i.ytimg.com/an_webp/9NUjHBNWe9M/mqdefault_6s.webp?du=3000&sqp=CKzOw4wG&rs=AOn4CLCn0CzKuvj1L0QxuLFXHO_h9rwEcQ
33,14,Pivot Table Excel Tutorial,https://www.youtube.com/watch?v=m0wI61ahfLc,2 years ago,1125717.0,13:36,Learn how to use PivotTables in Excel with this step-by-step tutorial for beginners. Find out how to insert pivot tables and how to ...,['4K'],Kevin Stratvert,https://www.youtube.com/user/kevlers,True,https://yt3.ggpht.com/ytc/AKedOLRkHVtAfp_Lc4c9nvT_v9c1PDudKWuFfYeNquCjteU=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/m0wI61ahfLc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAU0QUewYcpNPXLOZGDme2_rFy1Dw,
34,16,Excel 2016 Intermediate,https://www.youtube.com/watch?v=NvBPFwYq3I4,2 years ago,597789.0,2:36:27,Excel 2016 Intermediate Tutorial For ad free training and certificates please join Learnit Anytime: https://www.learnitanytime.com ...,,Learnit Training,https://www.youtube.com/user/LearnitTraining,True,https://yt3.ggpht.com/JPJEpKm2PkYzJJmju1M4a0cq3aMBS-JmJ4umGsxMLOCTTq0aE-vTfDaKa9umJNjqncqrzI3UauY=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/NvBPFwYq3I4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAFaCym0OCJzmTkXP725RQA6eN2SQ,
35,17,How You Can Actually Use the NEW Excel BYROW & BYCOL Functions,https://www.youtube.com/watch?v=YqaEJiwJj2I,1 month ago,188772.0,8:02,Have you used the new Excel BYROW and BYCOL functions? Microsoft released new Excel Lambda Helper Functions.,,Leila Gharani,https://www.youtube.com/channel/UCJtUOos_MwJa_Ewii-R3cJA,True,https://yt3.ggpht.com/ytc/AKedOLQYG2RoNQGZCPOp66egKoE8vZ13fwOQ3hlsgXMpvA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/YqaEJiwJj2I/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC6dE7dDn2zbKWJVdzlXdKbs8jjEg,https://i.ytimg.com/an_webp/YqaEJiwJj2I/mqdefault_6s.webp?du=3000&sqp=CKDLw4wG&rs=AOn4CLCvwVVEDjscB2bd10iYNIboX5ezjQ
36,18,How to build Interactive Excel Dashboards that Update with ONE CLICK!,https://www.youtube.com/watch?v=K74_FNnlIF8,3 years ago,7469655.0,52:26,In this video you will learn how to create an interactive Excel dashboard from scratch using the built in Excel tools. No add-ins or ...,,MyOnlineTrainingHub,https://www.youtube.com/user/MyOnlineTrainingHub,True,https://yt3.ggpht.com/ytc/AKedOLR6rNkZyg7o25kyQy2asi_qSXHgKaW9Uwttcfvf_A=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/K74_FNnlIF8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDdiW1Kv6w_b3lcioAhmnAEownW7g,
37,19,Excel LAMBDA - HOW & WHEN you Should use it,https://www.youtube.com/watch?v=Rm4y5UqauRw,11 months ago,223122.0,16:02,Introducing Excel's BRAND NEW function: Excel LAMBDA Function. Excel Lambda allows you to create your own Microsoft Excel ...,['CC'],Leila Gharani,https://www.youtube.com/channel/UCJtUOos_MwJa_Ewii-R3cJA,True,https://yt3.ggpht.com/ytc/AKedOLQYG2RoNQGZCPOp66egKoE8vZ13fwOQ3hlsgXMpvA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Rm4y5UqauRw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD6eIOG2vp_Rnfv2Clyhswhatr2NA,https://i.ytimg.com/an_webp/Rm4y5UqauRw/mqdefault_6s.webp?du=3000&sqp=COjFw4wG&rs=AOn4CLBTK3gnva4R8rfnAlgzt1pOAW-MyQ
38,20,How to Use Excel Checkboxes | Interactive Checklists & Reports,https://www.youtube.com/watch?v=Jj1iJSnXEG8,3 months ago,207452.0,8:02,Quickly learn how to create a check-box in Microsoft Excel. I also cover adding multiple checkboxes to a column. You'll also learn ...,,Leila Gharani,https://www.youtube.com/channel/UCJtUOos_MwJa_Ewii-R3cJA,True,https://yt3.ggpht.com/ytc/AKedOLQYG2RoNQGZCPOp66egKoE8vZ13fwOQ3hlsgXMpvA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Jj1iJSnXEG8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyKJUUr5JmAIkBlOAZtEyh089eIw,https://i.ytimg.com/an_webp/Jj1iJSnXEG8/mqdefault_6s.webp?du=3000&sqp=COfBw4wG&rs=AOn4CLAdLue3ub459Yro9gGQt6tlOMsxCQ
39,4,Tableau in Two Minutes - Tableau Basics for Beginners,https://www.youtube.com/watch?v=jEgVto5QME8,3 years ago,889229.0,23:03,"In this longer-format training video, we walk through everything you need to build your first dashboard, from connecting to data, ...",,Penguin Analytics,https://www.youtube.com/channel/UCQIMjZigvDj6tWFoMTsN5_g,,https://yt3.ggpht.com/ytc/AKedOLQAbYgXnBGnTgqgf60oezB2ujlBsBfgLEotyW55=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/jEgVto5QME8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCxxhzPetxcOwwiVmqnlYVFundgDQ,
40,5,Tableau Full Course - Learn Tableau in 6 Hours | Tableau Training for Beginners | Edureka,https://www.youtube.com/watch?v=aHaOIvR00So,2 years ago,1639529.0,6:00:14,00:00 Agenda 2:27 Introduction to Tableau & Data Visualization 2:39 What is Data Visualization? 3:37 Power of Data ...,['CC'],edureka!,https://www.youtube.com/user/edurekaIN,True,https://yt3.ggpht.com/ytc/AKedOLTyvoU_YW3YmDgIXlJ8JpzFnNoZPVvQk9xFxfMkzQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/aHaOIvR00So/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBtNgAv6bYJzWnb5DlRKhPsPLQL5g,https://i.ytimg.com/an_webp/aHaOIvR00So/mqdefault_6s.webp?du=3000&sqp=CLTzw4wG&rs=AOn4CLDCQwyogA2En7u1g7pG1AaYh4cH0Q
41,6,What is Tableau ?  Explained in under 10 mins!,https://www.youtube.com/watch?v=7Jl-RwkzqQ4,1 year ago,364651.0,10:27,tableau #salesforce #data In this video I summarise the Tableau platform and how it fits into the Analytical flow in every business.,['CC'],Tableau Tim,https://www.youtube.com/user/tfngwena,,https://yt3.ggpht.com/vgtxZZSUM59UEsIgmm5O4EZ6nDZ38JzUcEzlAvpC4Dmd40aBmvJMmaOTDeQnRUCONoKhxqK-Nw=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/7Jl-RwkzqQ4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABTtQEi1U0o4WvGrrdFF4frNivVg,
42,7,Tableau for Data Science and Data Visualization - Crash Course Tutorial,https://www.youtube.com/watch?v=TPMlZxRRaBQ,2 years ago,466923.0,28:42,"Learn to use Tableau to produce high quality, interactive data visualizations! Tableau can help you see and understand your data.",,freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,True,https://yt3.ggpht.com/ytc/AKedOLTtJvQ1Vfew91vemeLaLdhjOwGx3tTBLlreK_QUyA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/TPMlZxRRaBQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAofU-8TWwNhL5ZbwLNdgtz6fx0ag,https://i.ytimg.com/an_webp/TPMlZxRRaBQ/mqdefault_6s.webp?du=3000&sqp=CLzew4wG&rs=AOn4CLC4uFpLKYVngiammuYybfceR5PLkw
43,8,What is Tableau? | A Tableau Overview,https://www.youtube.com/watch?v=YfE9jBq002s,2 years ago,310066.0,2:16,"Tableau helps people see and understand data. Our analytics platform fuels exploration, allowing you to quickly answer questions ...",['CC'],Tableau Software,https://www.youtube.com/user/tableausoftware,True,https://yt3.ggpht.com/ytc/AKedOLQkzAf9xbWb7XSzfywVnNrKMjSdmJn0crwpFoYg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/YfE9jBq002s/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBtpY3YbPFQztGGKysSa_Dh-AD3LA,https://i.ytimg.com/an_webp/YfE9jBq002s/mqdefault_6s.webp?du=3000&sqp=CN7tw4wG&rs=AOn4CLCfQg-FKmrkVj08bpExJ1C-sm_zBw
44,9,Tableau Tutorial | Tableau Full Course - Learn Tableau In 6 Hours | Great Learning,https://www.youtube.com/watch?v=6mBtTNggkUk,1 year ago,348466.0,5:23:57,Great Learning offers a range of extensive Data Science courses that enable candidates for diverse work professions in Data ...,['CC'],Great Learning,https://www.youtube.com/user/beaconelearning,True,https://yt3.ggpht.com/ytc/AKedOLQCxwWkeIU4jyhDL-1vXucz-mquq4uPnTsyUtGiyA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/6mBtTNggkUk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDsfmtWcOKCQpZpWLpqJI-KtLKz5A,https://i.ytimg.com/an_webp/6mBtTNggkUk/mqdefault_6s.webp?du=3000&sqp=CK_4w4wG&rs=AOn4CLCZnXdm1gF44aOkI65R7UogjRnQzQ
45,14,TC21 | Opening Keynote,https://www.youtube.com/watch?v=7D_C-P_Qysw,Streamed 4 days ago,4243.0,1:07:05,"The ability to collect, analyze, and understand data at a new scale has created incredible opportunities as well as new challenges.",['New'],Tableau Software,https://www.youtube.com/user/tableausoftware,True,https://yt3.ggpht.com/ytc/AKedOLQkzAf9xbWb7XSzfywVnNrKMjSdmJn0crwpFoYg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/7D_C-P_Qysw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB-EBZDpEnwmA88pzPiqpMef_oP3A,https://i.ytimg.com/an_webp/7D_C-P_Qysw/mqdefault_6s.webp?du=3000&sqp=CITTw4wG&rs=AOn4CLDFRNMBBtnOgvhA3bcK3SmAXwHu5w
46,16,2021 Tableau Desktop Specialist Exam Guide: Tableau Certification,https://www.youtube.com/watch?v=ynODtMexgC8,1 month ago,1606.0,23:56,"In this one, I go through the Tableau Specialist exam run by Pearson Vue immediately after sitting it. This exam is for those who ...","['4K', 'CC']",Tableau Tim,https://www.youtube.com/user/tfngwena,,https://yt3.ggpht.com/vgtxZZSUM59UEsIgmm5O4EZ6nDZ38JzUcEzlAvpC4Dmd40aBmvJMmaOTDeQnRUCONoKhxqK-Nw=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/ynODtMexgC8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmqUHK4UYDmCbaz20r0tQBb97wTQ,https://i.ytimg.com/an_webp/ynODtMexgC8/mqdefault_6s.webp?du=3000&sqp=CPPjw4wG&rs=AOn4CLALtF2Ztx-Czev78UFF1IZfpVMGkA
47,17,Tableau Training For Beginners Part - 1 | Tableau Tutorial Part - 1 | Tableau Training | Simplilearn,https://www.youtube.com/watch?v=fO7g0pnWaRA,3 years ago,434716.0,2:15:51,This Tableau training for beginners video will help you understand what is business intelligence why we need business ...,,Simplilearn,https://www.youtube.com/user/Simplilearn,True,https://yt3.ggpht.com/ytc/AKedOLTaNnIZrEVNHk-OgfTRlO1n2aeAZ657f5FrG-5EaA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/fO7g0pnWaRA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBR9XkNAfhhcVYSflcmZzSmvg9tzw,
48,20,Tableau Dashboard Tips  [Top 10 Tableau Dashboard Design Tips],https://www.youtube.com/watch?v=Lu0jrymqOGM,3 years ago,316171.0,13:57,"So you have all your charts built out now it's time to put it all together. To me, this is the most important step because this is what ...",,Vizual Intelligence Inc.,https://www.youtube.com/channel/UCdXTfbW26jVkQzqjsRO6JOg,,https://yt3.ggpht.com/ytc/AKedOLTRCI4mGF0lPfi3DH5ub_I4T0ciYvUx9CVkAXDQrg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Lu0jrymqOGM/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCrpGu5s-1Amm5zBNsCQkOPwJ9qtQ,https://i.ytimg.com/an_webp/Lu0jrymqOGM/mqdefault_6s.webp?du=3000&sqp=CIe4w4wG&rs=AOn4CLDcdqwBkSoEJ6QHiH1GXrLd3K-J8Q
49,21,TC21 | Iron Viz,https://www.youtube.com/watch?v=Aj5bd6AstHQ,2 days ago,1100.0,55:33,Three finalists take the stage to compete for bragging rights (and $10000 cash) in the world's largest data visualization ...,['New'],Tableau Software,https://www.youtube.com/user/tableausoftware,True,https://yt3.ggpht.com/ytc/AKedOLQkzAf9xbWb7XSzfywVnNrKMjSdmJn0crwpFoYg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Aj5bd6AstHQ/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQzf4BhLHlBFnozJguAdxJeEL4PA,https://i.ytimg.com/an_webp/Aj5bd6AstHQ/mqdefault_6s.webp?du=3000&sqp=CIjjw4wG&rs=AOn4CLCh221g2D9095ET7vhv9gfwn9DGtA
50,22,TABLEAU HOW TO CREATE DASHBOARD,https://www.youtube.com/watch?v=Nr31rv9tsJ8,4 years ago,322614.0,20:43,Wondering what the best practices for creating stunning dashboards in Tableau are? We know that it might be complicated to put ...,,Art of Visualization,https://www.youtube.com/channel/UCHBWJGoZMkhJyElgvuN1U1w,,https://yt3.ggpht.com/ytc/AKedOLTe5Z70pKSWUpxMoEgL8HJpk7r5g11PQrR08637QQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Nr31rv9tsJ8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkMI-tbN8DX1SNYSLy9kcFg-G8lg,
51,23,Tableau Explained In 5 Minutes | What Is Tableau? | Tableau Training For Beginners | Simplilearn,https://www.youtube.com/watch?v=NLCzpPRCc7U,5 months ago,20250.0,5:11,"Don't forget to take the quiz at 03:51! Comment below what you think is the right answer, to be one of the 3 lucky winners who can ...",,Simplilearn,https://www.youtube.com/user/Simplilearn,True,https://yt3.ggpht.com/ytc/AKedOLTaNnIZrEVNHk-OgfTRlO1n2aeAZ657f5FrG-5EaA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/NLCzpPRCc7U/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCX0g9PboUJPo2q4X1zJnd_vN5n8g,https://i.ytimg.com/an_webp/NLCzpPRCc7U/mqdefault_6s.webp?du=3000&sqp=CLzyw4wG&rs=AOn4CLAgk00DRStZXAYCQeSOoX2aOvcQow
52,24,The 2021 Tableau Community Vizzies,https://www.youtube.com/watch?v=flJfqGYYJdI,2 days ago,415.0,24:48,"The Tableau World Podcast loves to recognize the awesomeness of the Tableau community, beyond those who have been ...",['New'],Tableau Software,https://www.youtube.com/user/tableausoftware,True,https://yt3.ggpht.com/ytc/AKedOLQkzAf9xbWb7XSzfywVnNrKMjSdmJn0crwpFoYg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/flJfqGYYJdI/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDzNwnzcLDWEgtO_PRgEVRVIX_dsQ,https://i.ytimg.com/an_webp/flJfqGYYJdI/mqdefault_6s.webp?du=3000&sqp=CNruw4wG&rs=AOn4CLAFpGrQO3cdF3CK2YG2LngH8JqSZQ
53,25,10 Tableau tricks you should know | Tableau Tips and Tricks | sqlbelle,https://www.youtube.com/watch?v=AqnQgGJ3VX0,1 year ago,18924.0,12:05,tableau #analytics These are ten tricks (or tips?) that I think anyone who uses Tableau should be familiar with. Some are obvious ...,,sqlbelle,https://www.youtube.com/channel/UCW2E1sGBVde5WMMxEh5CW4w,,https://yt3.ggpht.com/ytc/AKedOLQTP8xLzL4z1O2kVm5BZhP56aJAt5GKaJzIXNbU=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/AqnQgGJ3VX0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCYOO2Z_Lrk1KraE5gH3P2BjoWQQA,
54,27,Tableau Full Course In 8 Hours | Tableau Tutorial | Tableau Training For Beginners |  Simplilearn,https://www.youtube.com/watch?v=Wh4sCCZjOwo,2 years ago,129160.0,7:24:47,This video is an updated and complete Tableau Full Course In 8 Hours. This Tableau Tutorial is designed to guide you right from ...,,Simplilearn,https://www.youtube.com/user/Simplilearn,True,https://yt3.ggpht.com/ytc/AKedOLTaNnIZrEVNHk-OgfTRlO1n2aeAZ657f5FrG-5EaA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Wh4sCCZjOwo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSqFKFGdUj8Xr6FbcMmBqH1-2iLA,https://i.ytimg.com/an_webp/Wh4sCCZjOwo/mqdefault_6s.webp?du=3000&sqp=COTiw4wG&rs=AOn4CLCOJLFbOJPP70GBKBuatS7OLmQLCw
55,28,Introduction to Tableau | How Tableau Works | Tableau Courses,https://www.youtube.com/watch?v=gWZtNdMko1k,3 years ago,767732.0,4:27,Introduction to Tableau | How Tableau Works | Tableau Courses Lecture By: Mr. Pavan Lalwani Tutorials Point India Private ...,,Tutorials Point (India) Ltd.,https://www.youtube.com/channel/UCVLbzhxVTiTLiVKeGV7WEBg,True,https://yt3.ggpht.com/ytc/AKedOLQODifLtPEAFG0AEcYpJLRdwmZJVBtUaEH7oF3T=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/gWZtNdMko1k/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCF00VP7Kq8Fdevbe_FFdM8Y7iXVw,https://i.ytimg.com/an_webp/gWZtNdMko1k/mqdefault_6s.webp?du=3000&sqp=CMzlw4wG&rs=AOn4CLDv2sB96ZVsEqilpw4CnB8Pg7LBqA
56,1,What Is Azure? | Microsoft Azure Tutorial For Beginners | Microsoft Azure Training | Simplilearn,https://www.youtube.com/watch?v=3Arj5zlUPG4,3 years ago,1150976.0,10:34,Below topics are explained in this Azure tutorial for beginners: 1. Why cloud computing? ( 00:28 ) 2. What is cloud computing?,,Simplilearn,https://www.youtube.com/user/Simplilearn,True,https://yt3.ggpht.com/ytc/AKedOLTaNnIZrEVNHk-OgfTRlO1n2aeAZ657f5FrG-5EaA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/3Arj5zlUPG4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDI3dyQ5Wk0O1OwT2IDg10_xjAliA,https://i.ytimg.com/an_webp/3Arj5zlUPG4/mqdefault_6s.webp?du=3000&sqp=CJLNw4wG&rs=AOn4CLC1Iqz3g1xafr7ukLBakwyg-ylRZQ
57,2,Microsoft Azure Fundamentals Certification Course (AZ-900) - Pass the exam in 3 hours!,https://www.youtube.com/watch?v=NKEFWyqJ5XA,1 year ago,2132131.0,3:10:26,Learn about Microsoft Azure and pass the Azure Fundamentals exam! The Azure Fundamentals exam is an opportunity to prove ...,['CC'],freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,True,https://yt3.ggpht.com/ytc/AKedOLTtJvQ1Vfew91vemeLaLdhjOwGx3tTBLlreK_QUyA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/NKEFWyqJ5XA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAkfqrvxJBjUAOY44tVvFypn6LinQ,
58,3,How does Microsoft Azure work?,https://www.youtube.com/watch?v=KXkBZCe699A,3 years ago,563515.0,2:26,"Azure makes it easy for developers and IT professionals to be agile when they build, deploy, and manage their applications and ...",['CC'],Microsoft Azure,https://www.youtube.com/user/windowsazure,True,https://yt3.ggpht.com/ytc/AKedOLRWrisdne6s62jFSEqac07vG0wP_XT5m7hawTUHTA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/KXkBZCe699A/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCAi6WLF7c_xCA7TI3tNblKtjdj3A,https://i.ytimg.com/an_webp/KXkBZCe699A/mqdefault_6s.webp?du=3000&sqp=CNDZw4wG&rs=AOn4CLAknUedwbUn-xxtSj56EIIqKUzinQ
59,4,Azure Full Course - Learn Microsoft Azure in 8 Hours | Azure Tutorial For Beginners | Edureka,https://www.youtube.com/watch?v=tDuruX7XSac,2 years ago,1488272.0,7:58:47,00:00 Introduction 3:02 Why Cloud? 3:07 Before Cloud Computing 6:17 What is Cloud? 8:07 What is Cloud Computing? 8:42 ...,['CC'],edureka!,https://www.youtube.com/user/edurekaIN,True,https://yt3.ggpht.com/ytc/AKedOLTyvoU_YW3YmDgIXlJ8JpzFnNoZPVvQk9xFxfMkzQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/tDuruX7XSac/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9yRRx_Gm0G41QhDt0zYrdHCfTCA,https://i.ytimg.com/an_webp/tDuruX7XSac/mqdefault_6s.webp?du=3000&sqp=COHxw4wG&rs=AOn4CLBcL4w8N78cqOm1_uYa7n_Wku-a4Q
60,6,An introduction to Microsoft Azure AI | Azure AI Essentials,https://www.youtube.com/watch?v=qJGRd34Hnl0,9 months ago,31968.0,12:03,"In this video, Maddy Butzbach from #Microsoft #Azure AI takes us on a walkthrough of AI concepts and shows us how we can ...",['CC'],Microsoft Azure,https://www.youtube.com/user/windowsazure,True,https://yt3.ggpht.com/ytc/AKedOLRWrisdne6s62jFSEqac07vG0wP_XT5m7hawTUHTA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/qJGRd34Hnl0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAgvZpp96ao1wPUyX4-XC971bMsTw,https://i.ytimg.com/an_webp/qJGRd34Hnl0/mqdefault_6s.webp?du=3000&sqp=COHxw4wG&rs=AOn4CLCNyJ84br3rHeVBMwnwHVp6t-nDYA
61,7,Microsoft Azure Explained - Azure Training | Cloud Academy,https://www.youtube.com/watch?v=xNbVUMvqtt8,1 year ago,12190.0,8:04,"Microsoft Azure is a collection of online services that organizations can use to build, host, and deliver applications. You don't need ...",,Cloud Academy,https://www.youtube.com/channel/UCeRY0LppLWdxWAymRANTb0g,,https://yt3.ggpht.com/ytc/AKedOLTp5gyDKSwuKhLedCQ1liQTJUxedKsVHOSKlekjFQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/xNbVUMvqtt8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBqOg2XoHVhEA1MorAPs3oaYJ1xLA,https://i.ytimg.com/an_webp/xNbVUMvqtt8/mqdefault_6s.webp?du=3000&sqp=CMLRw4wG&rs=AOn4CLAFNUlIHrvVQiQYFZ7zg3wiFGM90Q
